repair_key,repair_item,review_bucket,decision,target_category,canonical_defect,severity_hint,cost_model,notes
check engine light on,check engine light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
check engine warning light,check engine warning light.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light on engine noise observed,engine light on engine noise observed.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine oil leak engine noise observed,engine oil leak engine noise observed.,Real repair gap,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
glow plug warning light on,glow plug warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
tilt tray required for pickup,tilt tray required for pickup.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission needs attention,transmission needs attention.,Unknown,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party dents or marks on body consistent with age and kilometres,transmission requires attention strongly recommend inspection by qualified third party dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light evident,engine light evident.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light on door card damaged,engine light on door card damaged.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light on traction control light on other warning light on seat torn drivers corrosion visible top of roof paint peeling on bonnet,engine light on traction control light on other warning light on seat torn drivers corrosion visible top of roof paint peeling on bonnet.,Real repair gap,Add dictionary rule,mechanical,traction_control_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light visible,engine light visible.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine mechanical abs light on,Engine & Mechanical: ABS Light On.,Real repair gap,Add dictionary rule,mechanical,abs_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
engine noise knock observed,engine noise / knock observed.,Unknown,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
exterior light fault warning light on,exterior light fault warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
interior engine light on,interior: engine light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
large scratch on bumper bars paint peeling front grille damaged driver side inner tail light water entry transmission requires attention strongly recommend inspection by qualified third party engine smoke visible engine light on other warning light on engine lacks power,large scratch on bumper bars paint peeling front grille damaged driver side inner tail light water entry transmission requires attention strongly recommend inspection by qualified third party engine smoke visible engine light on other warning light on engine lacks power.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
paint fading roof rear diff bushes require attention large scratch on driver side doors,paint fading roof rear diff bushes require attention large scratch on driver side doors.,Real repair gap,Add dictionary rule,mechanical,paint_fading_roof_rear_diff_bushes_require_attention_large_scratch_on_driver_sid,high,hard_avoid,bulk high-confidence review 2026-06-26
power steering requires attention,power steering requires attention.,Real repair gap,Add dictionary rule,mechanical,steering_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
suspension and driveline require attention,suspension and driveline require attention.,Unknown,Add dictionary rule,mechanical,suspension_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
abs light on traction control light on other warning light on paint peeling various panels paint fading various panels engine smoke visible medium scuff on rhr guard large scratch on rhf door dents or marks on body consistent with age and kilometres,abs light on traction control light on other warning light on paint peeling various panels paint fading various panels engine smoke visible medium scuff on rhr guard large scratch on rhf door dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,abs_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
airbag light on dents or marks on body consistent with age and kilometres,airbag light on dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
airbag warning lights on,airbag warning lights on.,Unknown,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
and rear quarter engine light on,and rear quarter engine light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
comment engine light on,comment: engine light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
drivers side front guard and roof engine light on,drivers side front guard and roof engine light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine idling rough airbag light on other warning light on paint fading roof dents or marks on body consistent with age and kilometres,engine idling rough airbag light on other warning light on paint fading roof dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light intermittent,engine light intermittent.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light on engine idling rough seat torn rhf windscreen chipped or cracked,engine light on engine idling rough seat torn rhf windscreen chipped or cracked.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light on engine oil leak transmission requires attention strongly recommend inspection by qualified third party steering requires attention,engine light on engine oil leak transmission requires attention strongly recommend inspection by qualified third party steering requires attention.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine mechanical engine noise,engine & mechanical: engine noise.,Unknown,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
engine noise on start up,Engine noise on start up.,Unknown,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
engine oil leak engine light on dents or marks on body consistent with age and kilometres,engine oil leak engine light on dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine oil leak front seat worn both dents or marks on body consistent with age and kilometres,engine oil leak front seat worn both dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
engine oil leak observed,engine oil leak observed.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
engine oil leaks,engine oil leaks.,Unknown,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
engine rattle noise observed,engine rattle noise observed.,Unknown,Add dictionary rule,mechanical,engine_rattle_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
engine smoke visible front seat worn both back seat worn,engine smoke visible front seat worn both back seat worn.,Real repair gap,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26
engine smoke visible steering requires attention,engine smoke visible steering requires attention.,Real repair gap,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26
epc light on,epc light on.,Real repair gap,Add dictionary rule,mechanical,epc_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
front seat worn both engine light on paint cracked rh side bonnet,front seat worn both engine light on paint cracked rh side bonnet.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
hood lining sagging front seat worn rhf large dent on lhr door other warning light on,hood lining sagging front seat worn rhf large dent on lhr door other warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
interior check engine light showing,interior: check engine light showing.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
interior engine light on dash,interior: engine light on dash.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
interior engine warning light on dash,interior: engine warning light on dash.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
interior engine warning lights on,interior: engine warning lights on.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
intermittent adjustable suspension fault,intermittent adjustable suspension fault.,Real repair gap,Add dictionary rule,mechanical,suspension_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
jump start or towing required dents or marks on body consistent with age and kilometres,jump start or towing required dents or marks on body consistent with age and kilometres.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
jump start or towing required hail damage visible,jump start or towing required hail damage visible.,Real repair gap,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
lhf guard paint fading bonnet large scratch on various tray box panels medium dent on lhr door engine noise observed,lhf guard paint fading bonnet large scratch on various tray box panels medium dent on lhr door engine noise observed.,Real repair gap,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
medium scuff on various panels around vehicle medium dent on various panels around vehicle paint fading various panels around vehicle corrosion visible various panels around vehicle engine noise observed,medium scuff on various panels around vehicle medium dent on various panels around vehicle paint fading various panels around vehicle corrosion visible various panels around vehicle engine noise observed.,Real repair gap,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
minor engine noise observed,minor engine noise observed.,Unknown,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
minor oil leak,minor oil leak.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
oil leak and engine smoke observed,oil leak and engine smoke observed.,Real repair gap,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26
oil leak observed in engine bay,oil leak observed in engine bay.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
other warning light on front seat worn both dents or marks on body consistent with age and kilometres,other warning light on front seat worn both dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
